,Title,Year,Cited_Count
0,西北地区植被净初级生产力估算模型对比与其生态价值评价,2013,11
1,北京市农业生态价值评价研究,2015,5
2,生态价值评估方法与补偿标准应用情况研究,2014,5
3,基于能值分析的黄河口滨海湿地生态价值评价,2013,4
4,山东省滨海湿地生态价值评估,2015,2
5,中国近海藻类养殖生态价值评估初探,2014,3
6,生态价值评估制度探究——兼论资产评估法的完善,2014,2
7,国家生态旅游示范区生态价值评估及其影响因素——以大围山国家生态旅游示范区为例,2016,1
8,考虑温室气体排放的红树林湿地生态价值评估——以海南东寨港红树林湿地为例,2013,2
9,辽河流域生态价值评估中WTP与WTA差异性的实证分析,2015,1
10,西北地区植被净初级生产力估算模型对比与其生态价值评价,2013,11
11,北京市农业生态价值评价研究,2015,5
12,生态价值评估方法与补偿标准应用情况研究,2014,5
13,基于能值分析的黄河口滨海湿地生态价值评价,2013,4
14,山东省滨海湿地生态价值评估,2015,2
15,中国近海藻类养殖生态价值评估初探,2014,3
16,生态价值评估制度探究——兼论资产评估法的完善,2014,2
17,国家生态旅游示范区生态价值评估及其影响因素——以大围山国家生态旅游示范区为例,2016,1
18,考虑温室气体排放的红树林湿地生态价值评估——以海南东寨港红树林湿地为例,2013,2
19,辽河流域生态价值评估中WTP与WTA差异性的实证分析,2015,1
20,北京市农业生态价值评价研究,2014,1
21,耕地生态价值评估研究进展分析,2016,1
22,京津冀林业生态工程生态价值评价与布局优化研究,2017,1
23,生态红线保护下的两江新区土地利用∕覆盖情景模拟及生态价值评估,2017,0
24,水府庙水库流域土壤保持功能生态价值评估,2015,0
25,芝麻对稗草的化感作用及其大田生态价值评价,2016,1
26,生态价值评估、资源证券化与生态补偿机制探讨——以湖南东江湖区的生态价值评估为例,2014,1
27,森林型国家生态旅游示范区生态价值评估与预测研究--以大围山国家生态旅游示范区为例,2016,1
28,豫南雨养区小麦一玉米周年不同耕作模式生态价值评估,2015,0
29,北京市耕地生态价值评估与时空变化分析,2018,0
30,传统农业生态系统的生态价值评估理论与实证研究,2014,1
31,内蒙古五角枫自然保护区资源保护与生态价值评价,2013,1
32,县域农用地生态价值评估研究——以玉山县为例,2016,0
33,苏南城市中心区屋顶绿化适建性及生态价值评价,2017,0
34,基于文献计量和知识图谱的湿地生态价值评估研究进展,2018,0
35,黄河三角洲盐碱地棉花种植的生态价值评估,2018,0
36,基于文献计量学的海洋生态价值评估研究进展分析,2018,0
37,基于GIS的耕地边际化评价与转移的生态价值评估——以三峡库区涪陵段为例,2017,0
38,环青海湖地区天然草地固定CO2释放O2生态价值评价,2017,0
39,辽东地区公益林主要树种生态价值评估,2018,0
40,基于Meta分析的沿海地区生态价值评估,2018,0
41,基于条件价值评估法的生态价值评估——曲江遗址公园为例,2018,0
42,生态建设项目生态价值评估与综合效益评价,2017,0
43,CVM在流域生态价值评估中的有效性和可靠性检验——以湘江流域为例的实证分析,2016,0
44,基于GIS的耕地边际化预测与转移的生态价值评估——以三峡库区涪陵段为例,2016,0
45,江铃汽车的生态价值评估--基于环境重置成本法的研究,2016,0
46,生态建设项目生态价值评估与综合效益评价——以天泽农业生态园为例,2016,0
47,江铃汽车的生态价值评估,2016,0
48,林地生态价值评估研究,2016,0
49,旅游企业生态角色定位及其生态价值评价研究,2013,0
50,试论生态水利工程生态价值评价指标,2013,0
51,基于选择性实验方法(CE)和河流生态服务法(RESA)的梁滩河生态价值评估实验设计,2015,0
52,基于生态价值评估的武陵山片区生态补偿扶贫研究,2015,0
53,全面实施区域生态价值评价促进碳排放权制度建设,2014,0
54,宝兴县森林景观时空动态变化分析及其生态价值评估,2014,0
55,渤海海岸带生态价值评估系统开发,2013,0
56,校园植被调节温度和湿度的生态价值评估,2013,0
57,渤海海岸带生态价值评估系统开发,2013,0
58,生态价值评价的理论基础与方法,2013,0
59,重庆市森林生态系统服务功能价值评估,2014,72
60,森林生态系统服务功能价值评估研究进展与趋势,2013,36
61,土地整理的生态系统服务价值评估与生态设计策略——以吉林省大安市土地整理项目为例,2014,22
62,神农架自然保护区森林生态系统服务价值评估,2014,25
63,重庆市森林生态系统服务功能价值评估,2014,42
64,漳江口红树林国家级自然保护区湿地生态系统服务价值评估,2013,25
65,青海湖湿地生态系统服务价值评估,2015,13
66,论湿地生态系统服务的多维度价值评估方法,2014,14
67,博斯腾湖生态系统最终服务价值评估,2015,12
68,基于土地利用—生态系统耦合模型的生态系统服务价值评估——以中国北方农牧交错带为例,2014,17
69,湿地生态系统服务价值评价去重复性研究的思考,2014,13
70,贵州草海湿地生态系统服务价值评估,2015,9
71,生态产品价值评估问题探讨,2015,10
72,甘肃祁连山国家级自然保护区森林生态系统服务价值评估,2013,15
73,吉林森工集团森林生态系统服务价值评价及预测研究,2015,25
74,中国内陆湿地生态系统服务价值评估——以71个湿地案例点为数据源,2015,10
75,张掖黑河湿地自然保护区生态服务功能价值评估,2015,13
76,干热河谷区退耕还林生态效益价值评估——以云南巧家县为例,2014,8
77,白洋淀湿地生态系统最终服务价值评估,2017,4
78,泉州森林生态系统服务功能价值评估与对比分析,2015,7
79,森林生态系统服务功能价值评估与分析,2016,6
80,甘肃省白龙江林区主要森林类型生态服务功能价值评估,2014,5
81,新疆生产建设兵团森林生态系统服务功能价值评估,2013,8
82,洱海湿地生态系统服务功能价值评估,2014,6
83,海南省红树林湿地生态系统服务功能价值评估,2014,11
84,海南省滨海自然湿地生态系统服务功能价值评估,2015,4
85,现代黄河三角洲湿地生态服务功能价值评估研究,2013,7
86,基于生态区位测度的伊春林区森林生态服务功能价值评估,2013,7
87,云南省国家级和省级自然保护区森林生态服务功能价值评估,2013,9
88,神农架自然保护区森林生态系统服务价值评估,2014,13
89,基于多源数据融合的南四湖湿地生态系统服务功能价值评估,2014,6
90,海洋生态系统内在价值评估方法初探--以厦门湾为例,2014,3
91,湿地生态系统服务功能价值评估研究进展,2013,6
92,滨海湿地生态系统服务及其价值评估研究进展,2016,2
93,基于高技术企业创新生态系统的技术标准价值评估研究,2013,4
94,吉林省森林生态系统服务价值评价,2016,4
95,建阳市森林生态系统服务价值评估,2014,9
96,天宝岩自然保护区森林生态系统服务功能价值评估,2013,4
97,惠安县森林生态系统服务功能价值评估,2014,7
98,重庆市森林生态系统服务价值评价,2014,8
99,上海市森林生态服务价值评估与分析,2016,3
100,宜兴市生态资源价值的定量评估与分析,2017,1
101,洞庭湖生态系统最终服务价值评估,2016,2
102,中国沙漠(地)生态系统水文调控功能及其服务价值评估,2013,2
103,石家庄市森林生态服务价值评估及预测,2014,2
104,贵阳市公益林生态效益价值及补偿标准CVM评估,2013,4
105,龙岩市森林生态系统服务价值评价,2014,2
106,根河林业局森林生态服务功能价值评估,2015,3
107,森林生态系统服务的价值评估和补偿:概念、原则和指标,2014,3
108,水土保持型国家重点生态功能区的生态服务价值评估,2017,0
109,高速公路水土保持生态服务功能价值评估浅析——以陕西省不同区域三条高速公路为例,2014,5
110,宁夏贺兰山国家级自然保护区森林生态系统服务价值评估,2017,0
111,太湖地区贡湖生态修复区生态系统服务价值评估,2017,0
112,北京湿地生态系统重要服务功能及其价值评估,2017,0
113,我国沿海防护林体系生态效益价值评估,2013,5
114,苏州城市森林生态环境监测及服务功能价值评估,2014,4
115,冀北山区森林生态系统服务价值评价,2013,4
116,高邮湖生态服务功能价值评估,2015,3
117,城市自然生态空间的价值评估及规划启示,2014,2
118,城市社区植被生态服务功能价值评估——以北京林业大学校园为例,2013,3
119,陕西省宁陕县天然林保护工程生态效益价值评估,2016,1
120,新疆巴尔鲁克山自然保护区森林生态系统服务功能价值评估,2014,5
121,贵州省森林生态系统服务功能的价值评估,2014,3
122,江西省森林生态系统服务价值评估与调整,2013,3
123,中国天山冰川生态服务功能及价值评估,2018,0
124,泰山森林生态系统服务功能及其价值评估,2017,0
125,九万山自然保护区森林生态系统服务价值评估,2016,2
126,乐清湾海洋生态系统服务价值评估,2015,1
127,南沙渔业湿地生态系统服务价值评估,2014,4
128,城市绿地生态服务功能价值评估——以北京林业大学为例,2014,4
129,基于双栏模型的三江平原湿地生态保护价值评估,2016,1
130,我国森林生态系统价值评估研究现状及展望,2015,2
131,辽宁双台河口湿地生态系统经济价值评估,2013,4
132,怀来县农田生态系统服务价值分类评估,2016,1
133,福建漳江口湿地生态系统服务功能价值评估,2013,4
134,1980—2010年松嫩平原湿地生态服务功能价值评估,2017,0
135,河南省南召县退耕还林工程生态效益价值评估,2014,4
136,新疆乌伦古河湿地生态系统服务功能价值评估研究,2015,2
137,江西九连山国家级自然保护区森林生态系统服务价值评估,2014,4
138,基于Meta分析的青岛市湿地生态系统服务价值评估,2017,0
139,福建海坛岛主要防护林生态服务功能价值评估,2015,1
140,陕西靖边天保工程森林生态系统服务功能价值评估,2017,0
141,杭州湾国家湿地公园湿地生态系统服务价值评估,2016,1
142,广东碳汇林生态服务功能价值评价,2016,1
143,江苏省重点公益林生态服务功能及价值评估,2017,2
144,采煤沉陷区农田-水域生态系统变化前后服务价值评估,2015,1
145,北京市昌平区京津风沙源治理工程生态环境影响价值评估,2013,3
146,山西省天保区森林生态系统服务功能价值评估,2015,3
147,南县森林生态系统服务功能价值评估,2015,3
148,中国森林生态资产价值评估,2017,0
149,森林生态系统服务价值评估方法研究综述及展望,2018,0
150,贵州省退耕还林工程生态服务功能价值评估,2014,3
151,景东县森林生态系统服务价值评估,2017,0
152,县域尺度森林生态系统服务价值评估实践探索——以河南省西峡县为例,2017,0
153,河北雾灵山自然保护区森林生态系统服务功能价值评估,2013,3
154,陕西省农地非农化生态系统服务价值损失评价,2013,1
155,丹江口库区及上游水土保持生态服务价值评价,2018,0
156,草海、洪河湿地生态系统服务功能价值评估及对比分析,2014,3
157,云南省玉龙县天保工程森林生态系统服务功能价值评估,2017,0
158,兰州城市生态系统服务价值的评估方法与结果比较,2013,3
159,广西典型区红树林生态系统价值评价,2013,3
160,基于生态区位测度的伊春林区森林生态服务功能价值评估,2013,3
161,湿地生态系统服务价值评估的空间尺度转换研究进展,2018,0
162,湖北省汉江流域生态服务功能价值评估,2015,1
163,湿地生态系统服务价值评价的去重复性计算研究,2014,3
164,晋江市森林生态系统服务功能价值评估,2016,2
165,渤海污染风险与生态系统功能价值评价研究,2015,1
166,湿地生态系统服务价值评估的空间尺度转换研究进展,2018,0
167,威宁草海湿地区域生态服务功能价值评估,2013,2
168,紫云英-早稻-晚稻农田系统的生态功能服务价值评价,2018,0
169,广西猫儿山国家级自然保护区森林生态系统生态服务价值评估,2018,0
170,浙江省沿海防护林体系二期工程森林生态效益价值评估,2015,2
171,石家庄城市森林生态系统服务功能价值评估,2013,0
172,基于RS/GIS的东北地区森林生态系统服务功能价值评估,2017,0
173,国内森林生态系统服务价值评估方法与指标研究综述,2015,1
174,基于皮尔曲线的甘肃生态价值支付意愿评估,2014,2
175,甘肃迭部县森林生态系统服务价值评估,2014,2
176,平江县生态服务功能价值评估,2015,1
177,洮河林区森林生态系统服务功能及价值评估,2018,0
178,黑龙江省森工林区森林生态文化价值体系评估,2017,0
179,重庆黔江区森林生态系统服务功能价值评估,2016,1
180,森林生态系统服务功能价值评估研究,2017,0
181,浅析生态系统服务价值评价方法,2013,2
182,城市森林生态系统服务功能价值评估方法研究,2014,2
183,稻作生态系统多功能性价值评估现状及分析,2013,1
184,流动风险源突发性环境事件环境污染及生态损失价值评估,2015,1
185,自然保护区生态系统服务价值构成及价值评估方法,2014,0
186,楚雄市森林生态系统服务功能价值评估,2014,1
187,江苏省重点公益林生态服务功能及价值评估,2014,2
188,陕西省湿地生态系统服务价值初步评估,2017,0
189,温州海域生态系统的供给服务价值评估,2016,1
190,黔南州森林生态系统服务功能价值评估,2013,1
191,汾河清水复流工程生态影响及价值评价,2015,1
192,上海市森林生态系统服务价值评估,2016,0
193,洱海流域森林生态系统服务功能价值评估,2015,1
194,生态经济视域下系统服务功能价值评估相关概念综述,2017,0
195,农地征收中生态功能价值评估研究,2014,1
196,高速公路服务区人工湿地生态系统价值评价,2013,0
197,贵州省退耕还林工程生态服务功能价值评估,2013,2
198,入侵植物的繁殖策略以及对本土植物繁殖的影响(传粉生态监测和价值评估专题),2018,0
199,不同农林景观配置模式小流域生态服务功能价值评估,2018,0
200,基于多源数据融合的宁夏平原不同湿地类型生态服务功能价值评估,2016,1
201,森林生态系统服务功能价值评估综述,2016,1
202,洛河洛阳市区段水土保持工程生态效益价值评估,2014,1
203,典型喀斯特峰丛洼地生态系统生态服务功能价值评估——以贵州平塘县为例,2017,0
204,铜壁关保护区森林生态系统服务价值评价研究,2017,0
205,辽宁省东部地区生态公益林生态服务功能及其价值评估研究,2017,0
206,江苏沿海地区土地利用生态价值测算评估,2016,0
207,乐山市森林生态系统服务价值评估,2017,0
208,海洋生态系统内在价值评估方法研究,2014,1
209,丰林自然保护区红松林森林生态系统服务功能价值评估,2013,1
210,基于CVM的青海湖旅游区生态系统美学价值评估,2016,0
211,河北省森林生态系统固碳释氧服务功能价值评估,2017,0
212,广东海丰鸟类省级自然保护区湿地生态系统服务价值评估,2017,0
213,湿地生态系统价值评估述评,2015,0
214,宁夏水洞沟段生态景观长廊森林生态系统服务功能价值评估,2017,0
215,海南中部生态功能保护区热带天然林生态功能价值评估,2013,0
216,忠县天池自然保护区生态服务功能价值评估研究,2015,0
217,CVM评估生态环境价值的关键技术综述,2017,0
218,福建省国有林场森林生态系统服务价值评估研究,2013,1
219,杭州湾南岸滨海湿地生态服务功能价值评估,2017,0
220,生态环境损害价值计量——福建南平生态破坏案生态环境损害价值评估案例分析,2017,0
221,湛江红树林国家级自然保护区湿地生态系统服务价值评估,2018,0
222,森林生态服务功能价值评价研究,2014,1
223,城市森林生态服务功能价值评估研究进展,2013,1
224,生态性旅游用地价值评估方法探析,2013,1
225,基于生态服务价值评估的北京市生态涵养区生态补偿机制探讨,2014,0
226,基于生态区位系数的大小兴安岭森林生态服务功能价值评估研究,2014,1
227,上海市不同类型生态用地的生态服务价值评估研究,2017,0
228,山东省滨海自然湿地生态系统服务功能价值评估,2018,0
229,森林生态系统服务价值评估研究,2017,0
230,滇池湖滨湿地生态系统服务价值评估,2013,0
231,新疆山地森林生态系统服务功能价值评估,2016,0
232,森林生态系统服务功能价值评估研究进展与趋势,2018,0
233,南岭国家级自然保护区森林生态系统服务价值评估,2017,0
234,南宁市湿地生态系统服务功能价值评估,2013,1
235,交通延误带来的生态环境价值损失评估,2013,1
236,义乌市森林资源生态效益价值评估初探,2013,1
237,重庆市武隆县自然生态资产价值评估研究,2014,0
238,基于能值理论的生态污水处理系统资产价值评估模型构建及应用,2017,0
239,贺兰山自然保护区森林生态系统服务功能价值评估,2013,1
240,开封市水体生态服务功能价值评估,2017,0
241,和田地区湿地生态系统服务功能价值评估研究,2016,0
242,湖南省森林生态系统服务功能价值评估,2017,0
243,县域生态服务功能价值评估及提升路径——以龙山县为例,2016,0
244,生态保护红线区生态资产价值评估,2018,0
245,地下水生态系统价值评估方法研究,2016,0
246,基于CVM的煤炭矿区流域生态环境改善支付意愿及生态恢复价值评估——以窟野河为例,2016,0
247,中国大型海藻资源生态价值分析与评估,2015,0
248,恩施市森林生态系统服务价值评估及其时空变异分析,2017,0
249,河南省湿地生态系统服务价值评估,2017,0
250,六盘山国家自然保护区森林生态系统服务功能价值评估,2014,0
251,1993～2008年楚雄州森林生态系统服务功能价值评估与动态分析,2016,0
252,内蒙古大青山自然保护区森林生态系统服务功能及其价值评估,2017,0
253,青海可鲁克湖—托素湖自然保护区湿地生态系统服务价值评估,2017,0
254,宁洱县森林生态系统服务价值评估,2018,0
255,樱桃沟小流域林灌植被生态效益价值评估,2013,0
256,试述湿地生态系统服务功能价值评估进展,2017,0
257,杭州花港观鱼公园生态服务功能价值评估研究,2017,0
258,叶尔羌河流域湿地生态系统服务功能价值评估研究,2016,0
259,天津围填海工程海洋生态损害价值评估指标的初探,2015,1
260,森林生态效益价值的评估方法及其适用性,2014,1
261,砒砂岩区1999~2008年沙棘生态工程环境资源价值评价,2013,0
262,基于GIS的海南岛森林生态系统服务功能价值评估,2015,0
263,黄前水库上游森林生态系统的生态服务功能与价值评估,2016,0
264,湘西州生态旅游资源价值评估研究,2014,0
265,卤阳湖湿地生态系统服务功能价值评估,2018,0
266,北戴河区湿地生态系统服务功能价值评估,2017,0
267,干旱半干旱区湿地生态系统服务价值评估——以内蒙古鄂托克前旗为例,2017,0
268,森林生态系统服务价值评估研究综述,2015,0
269,鹤庆县湿地生态系统服务功能价值评估,2018,0
270,西宁市城区森林生态系统碳汇服务价值评估,2017,0
271,福州闽江河口湿地生态服务功能价值评估,2017,0
272,西湖文化景观的生态美学价值评估,2017,0
273,南昌城市绿地生态系统服务功能价值评估及生态经济协调度研究,2017,0
274,云南森林生态系统服务功能经济价值评价,2018,0
275,文昌市生态公益林生态服务功能价值评估,2015,0
276,成都平原林盘的生态系统供给服务价值评估,2018,0
277,土地生态功能分类及价值评估,2016,0
278,基于生态服务功能价值评估的水源地国家湿地公园功能区优化管理研究,2017,0
279,黑龙江大兴安岭森林固碳释氧生态服务功能价值评估,2017,0
280,延安城市森林生态系统服务功能价值评估,2015,0
281,论生态价值与生态评价,2017,0
282,西藏自治区生态服务功能价值评估,2013,0
283,水生态系统服务价值评估及工业活动影响——山东省齐河县案例,2015,0
284,天目山森林生态服务价值评估和方法探讨,2013,0
285,冀北山区各县森林生态系统生态服务功能价值评估,2013,0
286,山东省林业生态产品的分类、价值评估与供给机制,2014,0
287,生态环境的经济价值评估方法与应用,2016,0
288,彭水县乌江沿岸森林生态系统服务功能及其价值评估,2016,0
289,草地生态系统及其保护和服务价值评估,2016,0
290,基于GIS/RS的城市绿地生态价值定量评估,2018,0
291,加拿大河流型生态旅游目的地价值评估,2016,0
292,黄冈市森林生态系统服务价值评估研究,2015,0
293,洞庭湖生态系统功能分异及经济价值评估研究,2016,0
294,漳州市森林生态服务价值评估初探,2014,0
295,扎龙自然保护区生态系统服务价值评估及生态修复研究,2016,0
296,张家口坝上湿地生态经济价值评价,2016,0
297,南木林区森林资源生态效益价值评估的研究,2016,0
298,河南省伊川县森林生态效益价值评估探讨,2014,0
299,崇左市森林生态系统服务功能价值评估,2016,0
