tweet_ID,retweet_count,favorite_count
892420643555336193,8842,39492
892177421306343426,6480,33786
891815181378084864,4301,25445
891689557279858688,8925,42863
891327558926688256,9721,41016
891087950875897856,3240,20548
890971913173991426,2142,12053
890729181411237888,19548,66596
890609185150312448,4403,28187
890240255349198849,7684,32467
890006608113172480,7584,31127
889880896479866881,5116,28208
889665388333682689,8502,38745
889638837579907072,4705,27633
889531135344209921,2309,15329
889278841981685760,5635,25712
888917238123831296,4681,29555
888804989199671297,4535,26021
888554962724278272,3722,20267
888078434458587136,3637,22144
887705289381826560,5584,30690
887517139158093824,12053,46940
887473957103951883,18813,70007
887343217045368832,10713,34223
887101392804085760,6147,31045
886983233522544640,8045,35786
886736880519319552,3420,12286
886680336477933568,4597,22802
886366144734445568,3297,21488
886267009285017600,4,117
886258384151887873,6506,28437
886054160059072513,106,0
885984800019947520,7043,33299
885528943205470208,6642,36592
885518971528720385,3876,20739
885311592912609280,19188,0
885167619883638784,4526,22304
884925521741709313,19149,78881
884876753390489601,6042,28429
884562892145688576,5076,24716
884441805382717440,5836,27443
884247878851493888,21105,74192
884162670584377345,3099,20719
883838122936631299,3559,22269
883482846933004288,10336,46741
883360690899218434,3802,22932
883117836046086144,6900,37810
882992080364220416,4086,24358
882762694511734784,5086,28810
882627270321602560,6303,28327
882268110199369728,12013,45745
882045870035918850,5162,29843
881906580714921986,3516,24708
881666595344535552,11026,51390
881633300179243008,7,129
881536004380872706,16564,50326
881268444196462592,5328,23462
880935762899988482,2871,17288
880872448815771648,3957,21667
880465832366813184,6500,28997
880221127280381952,4398,27561
880095782870896641,4506,28085
879862464715927552,3615,22609
879674319642796034,10,313
879492040517615616,3300,23778
879415818425184262,45655,107834
879376492567855104,3239,17061
879130579576475649,7118,0
879050749262655488,4890,22978
879008229531029506,2793,19265
878776093423087618,4282,19708
878604707211726852,7510,30835
878404777348136964,1338,0
878316110768087041,6925,0
878281511006478336,1338,7890
878057613040115712,7118,42743
877736472329191424,19908,81450
877611172832227328,82,0
877556246731214848,3973,23188
877316821321428993,5377,27835
877201837425926144,5829,27661
876838120628539392,3493,21069
876537666061221889,4775,23789
876484053909872640,2499,19086
876120275196170240,4872,28392
875747767867523072,4478,25710
875144289856114688,5114,22346
875097192612077568,6303,27915
875021211251597312,4895,25948
874680097055178752,4825,28371
874434818259525634,15442,0
874296783580663808,4284,26563
874057562936811520,4107,23061
874012996292530176,10926,35406
873697596434513921,12435,0
873580283840344065,4110,24757
873337748698140672,1656,0
873213775632977920,1656,7435
872967104147763200,5632,27918
872820683541237760,3858,15006
872668790621863937,31,0
872620804844003328,3871,21254
872486979161796608,9365,41474
872261713294495745,6606,34982
872122724285648897,8493,35224
871879754684805121,11810,38995
871762521631449091,3641,20716
871515927908634625,3608,20687
871166179821445120,5956,0
871102520638267392,5729,21403
871032628920680449,3972,23174
870804317367881728,6348,33689
870726314365509632,3,120
870656317836468226,2798,12767
870374049280663552,27502,84753
870308999962521604,4355,22375
870063196459192321,8787,37660
869772420881756160,10580,43546
869702957897576449,6680,29014
869596645499047938,3300,16431
869227993411051520,4004,21052
868880397819494401,12435,54897
868639477480148993,2219,0
868622495443632128,6234,28165
868552278524837888,2219,10485
867900495410671616,4410,24905
867774946302451713,7740,35055
867421006826221569,2673,16683
867072653475098625,134,0
867051520902168576,8367,33289
866816280283807744,32705,0
866720684873056260,5139,20805
866686824827068416,3707,20002
866450705531457537,32705,106481
866334964761202691,15442,54493
866094527597207552,8882,0
865718153858494464,5975,26528
865359393868664832,5351,27416
865006731092295680,8162,28978
864873206498414592,9320,33537
864279568663928832,3251,15134
864197398364647424,9552,31314
863907417377173506,4419,21390
863553081350529029,4464,15875
863471782782697472,2664,0
863432100342583297,5627,24734
863427515083354112,105,2349
863079547188785154,1188,9068
863062471531167744,2664,8911
862831371563274240,5421,19946
862722525377298433,3782,17722
862457590147678208,5342,21405
862096992088072192,24997,77714
861383897657036800,11456,37599
861288531465048066,4465,17961
861005113778896900,4093,17460
860981674716409858,2317,0
860924035999428608,879,0
860563773140209665,2317,7841
860524505164394496,5664,24590
860276583193509888,3724,19081
860184849394610176,6277,17429
860177593139703809,33231,0
859924526012018688,4320,19962
859851578198683649,3762,16044
859607811541651456,1695,19391
859196978902773760,32589,94035
859074603037188101,14658,35446
858860390427611136,8762,0
858843525470990336,3746,16242
858471635011153920,5243,22528
858107933456039936,3140,16459
857989990357356544,2790,16883
857746408056729600,11452,35902
857393404942143489,1772,6213
857263160327368704,4903,20956
857214891891077121,20,242
857062103051644929,182,0
857029823797047296,4342,19838
856602993587888130,11580,0
856543823941562368,3113,17075
856526610513747968,2053,12412
856330835276025856,729,0
856288084350160898,17,540
856282028240666624,6818,29007
855862651834028034,28,354
855860136149123072,1092,4687
855857698524602368,2299,12449
855851453814013952,19118,47679
855818117272018944,5905,27952
855459453768019968,8946,31563
855245323840757760,6521,0
855138241867124737,50,0
854732716440526848,6657,24116
854482394044301312,7546,30979
854365224396361728,5123,19954
854120357044912130,8245,33792
854010172552949760,3419,17120
853760880890318849,6350,30306
853639147608842240,11198,37042
853299958564483072,3913,16456
852936405516943360,2226,0
852912242202992640,2024,9610
852672615818899456,2371,15869
852553447878664193,3858,17419
852311364735569921,10906,35201
852226086759018497,7530,21318
852189679701164033,1733,12176
851953902622658560,10647,0
851861385021730816,23,0
851591660324737024,3808,17240
851464819735769094,7803,25855
851224888060895234,6315,22011
850753642995093505,10285,33213
850380195714523136,2894,13946
850333567704068097,365,3631
850145622816686080,4224,17454
850019790995546112,5429,21874
849776966551130114,8366,32267
849668094696017920,5490,0
849412302885593088,3461,16978
849336543269576704,2088,12196
849051919805034497,7337,32482
848690551926992896,4795,26990
848324959059550208,4012,20143
848213670039564288,825,8799
848212111729840128,3421,17545
847978865427394560,3634,0
847971574464610304,479,0
847962785489326080,5700,25198
847842811428974592,1513,5910
847617282490613760,462,7523
847606175596138505,3756,20130
847251039262605312,4773,21935
847157206088847362,6528,21492
847116187444137987,3564,23028
846874817362120707,4381,21597
846514051647705089,12992,48198
846505985330044928,3468,15250
846153765933735936,10154,34263
846139713627017216,10908,33099
846042936437604353,3206,17192
845812042753855489,9815,31600
845677943972139009,5333,27040
845459076796616705,14970,0
845397057150107648,2056,8215
845306882940190720,6013,25123
845098359547420673,8595,0
844979544864018432,2891,14678
844973813909606400,3597,16307
844704788403113984,11580,41876
844580511645339650,3516,17787
844223788422217728,2437,14700
843981021012017153,3268,16275
843856843873095681,5200,23113
843604394117681152,3066,18234
843235543001513987,6809,23218
842892208864923648,56373,0
842846295480000512,4008,16380
842765311967449089,1435,7292
842535590457499648,3921,19561
842163532590374912,6521,26494
842115215311396866,3363,15145
841833993020538882,17399,0
841680585030541313,8703,27739
841439858740625411,4138,13703
841320156043304961,6056,21340
841314665196081154,5283,17224
841077006473256960,5956,24841
840761248237133825,1960,0
840728873075638272,18176,0
840698636975636481,3,195
840696689258311684,1108,13323
840632337062862849,1960,9722
840370681858686976,5117,17859
840268004936019968,6460,20863
839990271299457024,2579,14575
839549326359670784,8762,29844
839290600511926273,159,0
839239871831150596,7375,29552
838952994649550848,4479,21237
838921590096166913,2341,12135
838916489579200512,37,0
838831947270979586,12544,0
838561493054533637,1494,11849
838476387338051585,5452,24569
838201503651401729,11466,0
838150277551247360,366,1819
838085839343206401,0,150
838083903487373313,3557,19124
837820167694528512,8882,37150
837482249356513284,494,4189
837471256429613056,2611,13909
837366284874571778,5969,22964
837110210464448512,2718,17408
837012587749474308,86,0
836989968035819520,2598,13823
836753516572119041,5201,20944
836677758902222849,2511,13733
836648853927522308,622,0
836397794269200385,31140,0
836380477523124226,3321,15976
836260088725786625,4832,23100
836001077879255040,4901,20840
835685285446955009,9272,0
835574547218894849,4097,19379
835536468978302976,1930,0
835309094223372289,23870,0
835297930240217089,3368,17791
835264098648616962,1930,8467
835246439529840640,82,2248
835172783151792128,6493,28461
835152434251116546,3425,24478
834931633769889797,1872,11791
834786237630337024,6132,22874
834574053763584002,2868,14939
834477809192075265,12146,0
834458053273591808,1893,10482
834209720923721728,5442,22505
834167344700198914,4111,17141
834089966724603904,2420,10957
834086379323871233,2504,14240
833863086058651648,2717,14594
833826103416520705,3886,16661
833732339549220864,250,0
833722901757046785,3626,22501
833479644947025920,2345,16193
833124694597443584,5490,22062
832998151111966721,2508,14506
832769181346996225,44,0
832757312314028032,4109,18356
832682457690300417,3348,12969
832645525019123713,590,3185
832636094638288896,3202,17310
832397543355072512,2533,13067
832369877331693569,3634,18715
832273440279240704,2657,12339
832215909146226688,7033,0
832215726631055365,10673,0
832088576586297345,3,72
832040443403784192,11050,0
832032802820481025,4720,13826
831939777352105988,6992,26297
831926988323639298,39,369
831911600680497154,7409,30248
831670449226514432,2053,11439
831650051525054464,2226,7868
831552930092285952,2620,9843
831322785565769729,1737,10011
831315979191906304,1261,7087
831309418084069378,2772,12777
831262627380748289,2338,13018
830956169170665475,1725,8705
830583320585068544,19188,73157
830173239259324417,6519,0
830097400375152640,3441,10769
829878982036299777,5734,0
829861396166877184,2234,13402
829501995190984704,12146,34779
829449946868879360,2319,11484
829374341691346946,10647,37930
829141528400556032,8486,26859
829011960981237760,18527,58067
828801551087042563,3880,0
828770345708580865,6713,27990
828708714936930305,12811,40107
828650029636317184,1540,10437
828409743546925057,1300,6873
828408677031882754,1468,8368
828381636999917570,2540,13819
828376505180889089,1210,8084
828372645993398273,3325,13706
828361771580813312,194,2401
828046555563323392,3245,12887
828011680017821696,2441,11364
827933404142436356,5958,22098
827653905312006145,3414,16917
827600520311402496,1080,8125
827324948884643840,3490,17444
827228250799742977,13452,0
827199976799354881,2566,11609
826958653328592898,5734,23675
826848821049180160,11805,40170
826615380357632002,4498,0
826598799820865537,292,5617
826598365270007810,2701,11076
826476773533745153,4801,20201
826240494070030336,2957,14564
826204788643753985,1070,5340
826115272272650244,3584,17239
825876512159186944,2138,11481
825829644528148480,2837,13974
825535076884762624,19563,56199
825147591692263424,5223,20129
825120256414846976,1477,0
825026590719483904,1477,6991
824796380199809024,6262,0
824775126675836928,4042,16440
824663926340194305,1986,11068
824325613288833024,11791,12961
824297048279236611,4442,16567
824025158776213504,675,5234
823939628516474880,3110,11712
823719002937630720,12874,0
823699002998870016,2764,13786
823581115634085888,3020,14336
823333489516937216,30,773
823322678127919110,4615,17363
823269594223824897,11350,0
822975315408461824,3936,19071
822872901745569793,47958,132318
822859134160621569,2611,14526
822647212903690241,7349,0
822610361945911296,3409,16259
822489057087389700,7349,20023
822462944365645825,17089,31684
822244816520155136,11350,38696
822163064745328640,5529,0
821886076407029760,2682,12529
821813639212650496,3810,0
821765923262631936,1893,9285
821522889702862852,2021,8842
821421320206483457,6424,0
821407182352777218,5031,13026
821153421864615936,10,278
821149554670182400,2309,9678
821107785811234820,2477,10596
821044531881721856,2622,13974
820837357901512704,7694,0
820749716845686786,11466,34862
820690176645140481,3699,13476
820494788566847489,646,0
820446719150292993,2968,0
820314633777061888,646,3696
820078625395449857,7216,21891
820013781606658049,1361,0
819952236453363712,1361,5903
819924195358416896,5576,14243
819711362133872643,3583,14863
819588359383371776,2259,10556
819347104292290561,1377,7982
819238181065359361,459,2539
819227688460238848,7694,25548
819015337530290176,42045,0
819015331746349057,21699,0
819006400881917954,21699,49786
819004803107983360,42045,95138
818646164899774465,23959,0
818627210458333184,8527,24481
818614493328580609,2965,10920
818588835076603904,7085,0
818536468981415936,2864,12086
818307523543449600,9331,0
818259473185828864,2611,12163
818145370475810820,2993,13621
817908911860748288,902,5337
817827839487737858,31140,57371
817777686764523521,3071,11855
817536400337801217,3488,13051
817502432452313088,3902,0
817423860136083457,17399,38096
817415592588222464,1122,6234
817181837579653120,9846,0
817171292965273600,2315,9650
817120970343411712,3004,13331
817056546584727552,1916,9489
816829038950027264,5468,0
816816676327063552,2350,11030
816697700272001025,2529,10860
816450570814898180,9331,33829
816336735214911488,2253,9529
816091915477250048,2490,9882
816062466425819140,1201,0
816014286006976512,6115,0
815990720817401858,1201,5526
815966073409433600,9846,24964
815745968457060357,4774,0
815736392542261248,2607,10894
815639385530101762,1901,9130
815390420867969024,4388,11423
814986499976527872,1500,8447
814638523311648768,3119,12481
814578408554463233,6716,0
814530161257443328,2143,9597
814153002265309185,10034,31880
813944609378369540,3717,0
813910438903693312,2180,10296
813812741911748608,16183,40231
813800681631023104,2042,9265
813217897535406080,8436,20708
813202720496779264,2079,10160
813187593374461952,5063,22007
813172488309972993,2227,10344
813157409116065792,2547,8553
813142292504645637,2714,9316
813130366689148928,511,4949
813127251579564032,3628,13188
813112105746448384,3208,11462
813096984823349248,4187,11644
813081950185472002,3201,10956
813066809284972545,2259,8825
813051746834595840,8455,23221
812781120811126785,2187,8342
812747805718642688,8025,0
812709060537683968,1658,7344
812503143955202048,1419,6759
812466873996607488,2218,8873
812372279581671427,4230,15161
811985624773361665,1642,8067
811744202451197953,1873,8390
811647686436880384,866,6189
811627233043480576,3633,14210
811386762094317568,7405,23211
810984652412424192,1647,5904
810896069567610880,2082,10057
810657578271330305,3043,12150
810284430598270976,13304,39481
810254108431155201,3880,16308
809920764300447744,4498,17181
809808892968534016,5679,0
809448704142938112,1687,7693
809220051211603969,6519,22165
809084759137812480,4029,14628
808838249661788160,3516,11221
808733504066486276,2502,8769
808501579447930884,2996,12533
808344865868283904,23959,47106
808134635716833280,6925,0
808106460588765185,2515,9671
808001312164028416,4075,13948
807621403335917568,4267,16179
807106840509214720,56373,106634
807059379405148160,8471,0
807010152071229440,4402,14452
806629075125202948,40437,83401
806620845233815552,6383,0
806576416489959424,2216,5350
806542213899489280,2747,11321
806242860592926720,13512,0
806219024703037440,1383,7122
805958939288408065,6201,0
805932879469572096,2195,9164
805826884734976000,2126,7304
805823200554876929,9320,0
805520635690676224,1899,6342
805487436403003392,2916,9734
805207613751304193,1964,8644
804738756058218496,4461,15262
804475857670639616,2341,6856
804413760345620481,3698,0
804026241225523202,18791,49596
803773340896923648,3202,11157
803692223237865472,8638,0
803638050916102144,4803,12226
803380650405482500,2155,8575
803321560782307329,6178,0
803276597545603072,2868,11161
802952499103731712,2322,10047
802624713319034886,3390,0
802600418706604034,1700,7919
802572683846291456,2909,9919
802323869084381190,6780,18061
802265048156610565,1568,7011
802247111496568832,5202,0
802239329049477120,3029,10088
802185808107208704,314,0
801958328846974976,1984,8574
801854953262350336,274,1948
801538201127157760,2377,9109
801285448605831168,955,6760
801167903437357056,6925,27290
801127390143516673,4598,0
801115127852503040,2417,8972
800859414831898624,113,774
800855607700029440,1884,0
800751577355128832,3203,11655
800513324630806528,3476,14632
800459316964663297,2480,10499
800443802682937345,5024,0
800388270626521089,3250,12409
800188575492947969,4555,0
800141422401830912,2968,17023
800018252395122689,15274,31655
799774291445383169,5448,0
799757965289017345,2497,9352
799422933579902976,2207,8938
799308762079035393,6425,0
799297110730567681,3214,11024
799063482566066176,2852,9024
798933969379225600,5177,14669
798925684722855936,1657,8223
798705661114773508,7685,0
798701998996647937,9060,0
798697898615730177,7555,0
798694562394996736,5779,0
798686750113755136,2690,0
798682547630837760,5486,0
798673117451325440,6454,0
798665375516884993,4494,0
798644042770751489,2142,0
798628517273620480,2265,0
798585098161549313,6589,0
798576900688019456,6835,0
798340744599797760,3901,0
798209839306514432,2947,11508
797971864723324932,3636,12975
797545162159308800,5622,16135
797236660651966464,7693,22250
797165961484890113,32,255
796904159865868288,10356,0
796865951799083009,2188,8528
796759840936919040,3549,13222
796563435802726400,8471,0
796484825502875648,2035,8444
796387464403357696,4830,12278
796177847564038144,16559,0
796149749086875649,16559,36048
796125600683540480,2071,5486
796116448414461957,2796,10109
796080075804475393,2690,9426
796031486298386433,4271,12020
795464331001561088,27586,55479
795400264262053889,3310,11229
795076730285391872,6262,18062
794983741416415232,3924,0
794926597468000259,2684,11454
794355576146903043,11969,0
794332329137291264,3076,10648
794205286408003585,3874,10273
793962221541933056,5679,18820
793845145112371200,2177,10247
793614319594401792,3646,0
793601777308463104,1901,8881
793500921481273345,2772,11908
793286476301799424,10673,27474
793271401113350145,2751,9649
793256262322548741,9661,22263
793241302385262592,3790,11741
793226087023144960,3322,10961
793210959003287553,3282,9957
793195938047070209,6504,17001
793180763617361921,2306,7710
793165685325201412,3227,10436
793150605191548928,1982,6886
793135492858580992,2884,7182
793120401413079041,4533,14138
792913359805018113,4693,16001
792883833364439040,4950,12612
792773781206999040,1958,8170
792394556390137856,4976,15071
792050063153438720,2080,7992
791821351946420224,24370,0
791784077045166082,11208,0
791780927877898241,4411,0
791774931465953280,21061,37678
791672322847637504,3646,13086
791406955684368384,4774,14627
791312159183634433,2947,9801
791026214425268224,4818,0
790987426131050500,2468,11041
790946055508652032,5468,18527
790723298204217344,2686,0
790698755171364864,2191,9118
790581949425475584,8143,22397
790337589677002753,2160,8696
790277117346975746,3717,14015
790227638568808452,4171,0
789986466051088384,2686,10311
789960241177853952,4816,0
789903600034189313,4833,11614
789628658055020548,2072,8410
789599242079838210,2267,7579
789530877013393408,3924,13117
789314372632018944,2655,9574
789280767834746880,5720,0
789268448748703744,2996,10147
789137962068021249,3232,10824
788908386943430656,14347,30520
788765914992902144,11969,30604
788552643979468800,8365,0
788412144018661376,5964,15998
788178268662984705,2477,8060
788150585577050112,1502,6837
788070120937619456,3933,0
788039637453406209,1529,6838
787810552592695296,3523,9678
787717603741622272,3226,11370
787397959788929025,3281,12064
787322443945877504,2024,8687
787111942498508800,7746,0
786963064373534720,9272,29595
786729988674449408,2809,0
786709082849828864,7033,20221
786664955043049472,2981,11908
786595970293370880,3575,10460
786363235746385920,4054,12129
786286427768250368,3328,8892
786233965241827333,5529,17100
786051337297522688,178,1607
786036967502913536,8148,0
785927819176054784,3627,12636
785872687017132033,2112,7452
785639753186217984,2545,8680
785533386513321988,2318,10146
785515384317313025,1466,6782
785264754247995392,1897,8095
785170936622350336,5608,13438
784826020293709826,3698,11268
784517518371221505,2945,10005
784431430411685888,1479,6308
784183165795655680,9320,22401
784057939640352768,12874,33358
783839966405230592,12544,33544
783821107061198850,2259,8176
783695101801398276,3706,11595
783466772167098368,2586,9426
783391753726550016,6393,18821
783347506784731136,6495,0
783334639985389568,13512,32504
783085703974514689,2541,9069
782969140009107456,8471,26849
782747134529531904,1593,8276
782722598790725632,6201,19173
782598640137187329,2177,8664
782305867769217024,6424,18547
782021823840026624,7196,0
781955203444699136,3885,12317
781661882474196992,3107,11586
781655249211752448,1305,4445
781524693396357120,6383,23074
781308096455073793,2933,7932
781251288990355457,2430,9403
781163403222056960,3149,10852
780931614150983680,8471,24088
780858289093574656,2311,8007
780800785462489090,1493,6114
780601303617732608,3810,13464
780543529827336192,2008,7001
780496263422808064,4293,0
780476555013349377,136,0
780459368902959104,1221,5868
780192070812196864,2571,9671
780092040432480260,2644,0
780074436359819264,5756,13667
779834332596887552,8148,21161
779377524342161408,3584,9791
779124354206535695,21187,0
779123168116150273,4189,13146
779056095788752897,5202,16444
778990705243029504,8371,22262
778774459159379968,11474,0
778764940568104960,422,952
778748913645780993,1549,7681
778650543019483137,1714,6415
778624900596654080,1165,5166
778408200802557953,4988,15089
778396591732486144,14089,0
778383385161035776,1264,6502
778286810187399168,3804,11529
778039087836069888,3040,9386
778027034220126208,1867,7292
777953400541634568,4053,0
777885040357281792,1882,7054
777684233540206592,3390,12468
777641927919427584,4915,0
777621514455814149,2884,9706
777189768882946048,4965,15858
776819012571455488,15743,0
776813020089548800,1393,5420
